,mouse,day,x,y,w,h
0,2,2,300,580,350,350
1,3,1,300,580,350,350
2,3,2,300,580,350,350
3,3,3,340,620,350,350
4,4,1,320,580,350,350
5,4,2,320,620,350,350
6,5,1,300,550,350,350
7,5,2,340,600,350,350
8,6,1,340,600,350,350
9,6,2,380,670,350,350
10,2,1,300,580,350,350
11,2,3,450,660,350,350
12,2,4,390,620,350,350
13,3,4,390,620,350,350
14,4,3,390,620,350,350
15,4,4,390,620,350,350
16,5,3,370,620,350,350
17,6,3,370,620,350,350
18,2,5,370,630,350,350
19,3,5,370,630,350,350
20,5,4,370,630,350,350
21,6,4,370,630,350,350
22,2,6,370,640,350,350
23,3,6,370,630,350,350
24,4,5,390,620,350,350
25,6,5,370,630,350,350
26,5,5,370,630,350,350
27,3,14,320,530,350,350
28,7,2,380,630,350,350
29,7,3,380,630,350,350
30,7,4,380,630,350,350
31,7,5,380,630,350,350
32,7,6,400,630,350,350
33,7,7,480,580,350,350
34,7,8,480,580,350,350
35,7,9,500,580,350,350
36,8,2,400,580,350,350
37,8,3,400,580,350,350
38,8,4,400,580,350,350
39,8,5,400,580,350,350
40,8,6,400,580,350,350
41,8,7,480,580,350,350
42,8,8,480,580,350,350
43,8,9,480,580,350,350
44,9,2,440,580,350,350
45,9,3,420,580,350,350
46,9,4,420,580,350,350
47,9,5,440,600,350,350
48,9,7,520,580,350,350
49,9,8,520,580,350,350
50,9,9,520,580,350,350
51,10,2,450,580,350,350
52,10,3,450,580,350,350
53,10,4,420,580,350,350
54,10,5,420,580,350,350
55,10,6,420,580,350,350
56,10,7,480,580,350,350
57,10,8,480,580,350,350
58,10,9,620,540,350,350
